year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key
2026,LAWC411S,ゼミナールIII（刑法研究／秋学期）,仲道　祐樹,社学,秋学期,火４時限,教室未定,刑法総論・各論の重要判例について検討します（可能ならば、各自が自分のテー......,1800001446012026180000144618
2026,GSSH201S,ゼミナールI（空間映像研究／秋学期）,佐藤　洋一,社学,秋学期,火５時限,教室未定,都市空間や生活空間を対象に、写真や映像を主な手段としながら、調査研究を進め......,1800001455012026180000145518
2026,GSSH301S,ゼミナールII（空間映像研究／秋学期）,佐藤　洋一,社学,秋学期,火４時限,教室未定,都市空間や生活空間を対象に、写真や映像を主な手段としながら、調査研究を進め......,1800001457012026180000145718
2026,GSSH401S,ゼミナールIII（空間映像研究／秋学期）,佐藤　洋一,社学,秋学期,火４時限,教室未定,都市空間や生活空間を対象に、写真や映像を主な手段としながら、調査研究を進め......,1800001459012026180000145918
2026,GSSF201L,環境表現論 II,佐藤　洋一,社学,秋学期,月３時限,教室未定,東京や東京の中の町・地域を例にとって、 町・地域と表現行為とのかかわりを歴......,1800001466012026180000146618
2026,ECNA221L,国際金融論,北村　能寛,社学,秋学期,月３時限,教室未定,国際金融論は国際マクロ経済学とも呼ばれる。つまりは、マクロ経済理論を応用し......,1800001489012026180000148918
2026,ECNA221S,ゼミナールI（Study of International Financial Systems／秋学期）,北村　能寛,社学,秋学期,水３時限,教室未定,"By applying (micro/macro)economics, the aim of this seminar is to tackle w......",1800001491012026180000149118
2026,ECNA321S,ゼミナールII（Study of International Financial Systems／秋学期）,北村　能寛,社学,秋学期,水４時限,教室未定,"Given basic skills in macro-, micro-economics, and regression analysis, pa......",1800001493012026180000149318
2026,ECNA421S,ゼミナールIII（Study of International Financial Systems／秋学期）,北村　能寛,社学,秋学期,水４時限,教室未定,"Given basic skills in macro-, micro-economics, and regression analysis, pa......",1800001495012026180000149518
2026,INTB331L,国際教育協力論,利根川　佳子,社学,秋クォーター,01:火２時限 02:火３時限,教室未定,本コースでは、開発途上国における教育を中心とする国際教育開発について議論す......,1800001504012026180000150418
2026,POLX271L POLX231L,比較政治制度論 ２,池谷　知明,社学,秋学期,水２時限,教室未定,政治体制について検討したのち、リベラル・デモクラシーついてポリーアーキー、......,1800001568012026180000156818
2026,POLX231S,ゼミナールI（比較政治研究／秋学期）,池谷　知明,社学,秋学期,水５時限,教室未定,政治学・比較政治の文献を購読した後、選択したテーマ(たとえばアメリカの議会......,1800001569012026180000156918
2026,POLX331S,ゼミナールII（比較政治研究／秋学期）,池谷　知明,社学,秋学期,水４時限,教室未定,先進デモクラシー諸国を中心に、各国の政治制度を実証、理論のいずれか、あるい......,1800001571012026180000157118
2026,POLX431S,ゼミナールIII（比較政治研究／秋学期）,池谷　知明,社学,秋学期,水４時限,教室未定,先進デモクラシー諸国を中心に、各国の政治制度を実証、理論のいずれか、あるい......,1800001573012026180000157318
2026,ECNE201S,ゼミナールI（応用マクロ経済学研究／秋学期）,及川　浩希,社学,秋学期,水３時限,教室未定,論文（原則として英語）の読解と演習・議論を通じて、日本をはじめ各国のマクロ......,1800001574012026180000157418
2026,ECNE301S,ゼミナールII（応用マクロ経済学研究／秋学期）,及川　浩希,社学,秋学期,月４時限,教室未定,マクロ経済学とその関連分野の文献を輪読する。対象とする文献は基本的には英語......,1800001576012026180000157618
2026,ECNE401S,ゼミナールIII（応用マクロ経済学研究／秋学期）,及川　浩希,社学,秋学期,月４時限,教室未定,マクロ経済学とその関連分野の文献を輪読する。対象とする文献は基本的には英語......,1800001578012026180000157818
2026,CMFC231S,ゼミナールI（公共文化研究／秋学期）,小長谷　英代,社学,秋学期,火４時限,教室未定,｢文化｣の概念や文化研究の基本的アプローチについて学びながら、｢公共文化(publ......,1800001579012026180000157918
2026,CMFC331S,ゼミナールII（公共文化研究／秋学期）,小長谷　英代,社学,秋学期,火５時限,教室未定,｢公共文化(public culture)｣の概念を焦点に、｢文化｣と社会、政治、経済、歴史......,1800001581012026180000158118
2026,CMFC431S,ゼミナールIII（公共文化研究／秋学期）,小長谷　英代,社学,秋学期,火５時限,教室未定,｢公共文化(public culture)｣の概念を焦点に、｢文化｣と社会、政治、経済、歴史......,1800001583012026180000158318
2026,LAWF211L,雇用関係法 II,滝原　啓允,社学,秋学期,金４時限,教室未定,労働法は、労働者と使用者との間の労働関係を規整する法律の総称ですが、皆さ......,1800001597012026180000159718
2026,LAWF311L SOCX351L,現代雇用社会の法と政策,滝原　啓允,社学,秋学期,金３時限,教室未定,現代雇用社会における法と政策について、ハラスメントを題材に授業を進める。か......,1800001598012026180000159818
2026,MGTX241L MGTX211L,グローバル・サプライチェーン・マネジメント,中島　健一,社学,秋学期,01:水３時限 02:水４時限,教室未定,近年、ものづくりシステムは国内における調達－生産―物流のみならず，グローバ......,1800001672012026180000167218
2026,MGTX261L,経営科学 １,須子　統太,社学,秋学期,01:無フルOD 02:無フルOD,教室未定,経営科学は、企業活動のみならずあらゆる組織的活動全般に対して、合理的・科学......,1800001673012026180000167318
2026,MGTX261S STAX201S,ゼミナールI（経営科学／秋学期）,須子　統太,社学,秋学期,火４時限,教室未定,近年、様々な経営上の判断において、統計・データ解析の重要性が増してきていま......,1800001679012026180000167918
2026,MGTX361S STAX301S,ゼミナールII（経営科学／秋学期）,須子　統太,社学,秋学期,水４時限,教室未定,近年、様々な経営上の判断において、統計・データ解析の重要性が増してきていま......,1800001681012026180000168118
2026,MGTX461S STAX401S,ゼミナールIII（経営科学／秋学期）,須子　統太,社学,秋学期,水４時限,教室未定,近年、様々な経営上の判断において、統計・データ解析の重要性が増してきていま......,1800001683012026180000168318
2026,LAWC211L,刑法各論 ２〔財産に対する罪〕,仲道　祐樹,社学,秋学期,月３時限,教室未定,【授業の狙い】　刑法は、犯罪と刑罰に関する法です。新聞やテレビの報道で、刑......,1800001692012026180000169218
2026,ECNT311L,制度設計の経済学 II,笠島　洋一,社学,秋学期,水２時限,教室未定,本講義では、「制度設計の経済学Ⅰ」に引き続き、経済問題における制度設計のあ......,1800001721012026180000172118
2026,ECNA231L,公共経済論 II,笠島　洋一,社学,秋学期,無フルOD,教室未定,この科目は、全回オンデマンド（Moodle）配信により授業を実施します。 小テス......,1800001723012026180000172318
2026,ECNT311L,Mechanism Design,笠島　洋一,社学,秋学期,木１時限,教室未定,【For General Program & TAISI Course】 This course aims to study how t......,1800001724012026180000172418
2026,ECNH101L,比較経済史 ２,君塚　弘恭,社学,秋学期,無フルOD,教室未定,本講義は全てフルオンデマンド配信で行われます。　本講義の目的は、18世紀後......,1800001726012026180000172618
2026,ECNH201L,商業史 II,君塚　弘恭,社学,秋学期,火３時限,教室未定,私たちは、春学期を通じて流通の歴史を学び、古代から中世にかけて形成された......,1800001728012026180000172818
2026,PHLS101L,社会科学方法論　Ｂ,吉田　敬,社学,秋学期,水４時限,教室未定,社会科学上の例や論争を手がかりに、社会科学方法論における主要な哲学的主張を......,1800001729022026180000172918
2026,LAWG321L,知的財産権法（特許法、商標法、不正競争防止法）,今村　哲也,社学,秋学期,無フルOD,教室未定,知的財産法のうち、技術的創作に関する情報を生み出した者に独占を許す法制度で......,1800001732012026180000173218
2026,ECNT291S,ゼミナールI（制度設計の経済学／秋学期）,笠島　洋一,社学,秋学期,水４時限,教室未定,この科目（ゼミナール）は、原則として対面により行いますが、状況により、リア......,1800001743012026180000174318
2026,ECNH201S,ゼミナールI（比較経済史研究／秋学期）,君塚　弘恭,社学,秋学期,水３時限,教室未定,比較経済史研究ゼミIは、「グローバル・ヒストリー」という方法論を用いて様......,1800001744012026180000174418
